Category,Feature,Bisect,Spline,Vectary,Priority,Business Impact,Notes
3D Modeling,Primitive Shapes,Yes (8 types),Yes,Yes,N/A,Already implemented,Cube/Sphere/Cylinder/Cone/Torus/Capsule/Plane/3D Text
3D Modeling,Boolean Operations,Yes,Yes + SDF Blend,Basic,Medium,Enhance with SDF smooth blending,three-bvh-csg implementation
3D Modeling,3D Sculpting,No,Yes,No,Medium,Creative differentiation,Brushes for vertex manipulation
3D Modeling,3D Paths/Splines,No,Yes,No,Medium,Procedural modeling capability,Extrude along path/clone along path
3D Modeling,Cloner/Scatter System,No,Yes,No,Medium,Pattern and distribution tools,Grid/radial/linear modes
3D Modeling,Particle System,No,Yes,No,Medium,Visual effects capability,Emitters/physics/materials
Materials,Material Presets,Yes (600+),Yes,Yes,N/A,Strong competitive advantage,Organized by category
Materials,PBR Support,Yes,Yes,Yes,N/A,Already implemented,Full PBR pipeline
Materials,Layered Materials,No,Yes,Basic,Medium,Advanced material creation,Depth/Video/Fresnel/Rainbow/Noise layers
Materials,Video Textures,Panel only,Yes,Yes,Low,Video on 3D surfaces,VideoTexturePanel exists
Materials,Custom HDRI Upload,No,Yes,Yes,Medium,Lighting flexibility,Currently only presets available
Animation,State-Based Animation,No,Yes,Yes,HIGH,Critical for interactivity,Object states with transitions
Animation,3D Timeline Keyframes,Video only,Yes,Yes,HIGH,Core animation feature,Property-level keyframe control
Animation,Graph/Curve Editor,No,Yes,Basic,HIGH,Animation refinement,Custom easing curves
Animation,Path Animation,No,Yes,No,Medium,Motion paths,Animate objects along 3D paths
Animation,Physics Animation,Yes (Rapier3D),Yes,No,N/A,Competitive advantage,Already implemented
Interactivity,Mouse Events (Hover/Click),No,Yes,Yes,HIGH,Fundamental for web 3D,Click/Hover/Down/Up events
Interactivity,Keyboard Events,No,Yes,No,HIGH,User input handling,Key press/up/down
Interactivity,Scroll Events,No,Yes,No,HIGH,Parallax and scroll animations,Trigger animations on scroll
Interactivity,Collision Events,No,Yes,No,HIGH,Physics triggers,Detect object collisions
Interactivity,Drag & Drop Events,No,Yes,No,HIGH,Interactive manipulation,User drag interactions
Interactivity,Game Controls,No,Yes,No,HIGH,Explorable environments,WASD/Jump/Run/Camera
Interactivity,Variables/Data Binding,No,Yes,Yes (API),HIGH,Dynamic content,Boolean/number/string variables
